#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
66,六味地黄丸(浓缩丸),0,396000,0,183000,易,-,-,-,-%,-%
64,法莫替丁片,0,163000,0,422000,易,-,-,-,-%,-%
62,血液保存液Ⅱ,0,173000,0,105000,易,-,-,-,-%,-%
61,复方桔梗麻黄碱糖浆,0,823000,0,142000,易,-,-,-,-%,-%
57,梅花点舌丸,0,2170000,0,0,易,-,-,-,-%,-%
56,氯普噻吨片,0,22400,0,0,易,-,-,-,-%,-%
49,急肝退黄胶囊,0,55500,0,0,易,-,-,-,-%,-%
48,回天再造丸,0,28100,0,0,易,-,-,-,-%,-%
43,土霉素胶囊,0,793000,2,0,易,-,-,-,-%,-%
39,开塞露(含甘油),0,70300,0,0,易,-,-,-,-%,-%
34,消渴降糖胶囊,0,947000,0,0,易,-,-,-,-%,-%
27,维磷葡钙片,0,59200,0,0,易,-,-,-,-%,-%
26,薄荷桉油含片(Ⅱ),0,173000,0,0,易,-,-,-,-%,-%
23,米格来宁片,0,49400,0,0,易,-,-,-,-%,-%
21,紫蔻丸,0,55200,0,0,易,-,-,-,-%,-%
17,乙型肝炎病毒表面抗体诊断试剂盒(酶联免疫法),0,882000,0,40900,易,-,-,-,-%,-%
16,盐酸酚苄明片,0,175000,0,183000,易,-,-,-,-%,-%
14,呋喃硫胺片,0,180000,0,55500,易,-,-,-,-%,-%
13,阿奇霉素葡萄糖注射液,0,449000,0,144000,易,-,-,-,-%,-%
7,注射用盐酸纳洛酮,0,553000,0,156000,易,-,-,-,-%,-%
5,注射用单磷酸阿糖腺苷,0,206000,0,72300,易,-,-,-,-%,-%
2,注射用长春西汀,0,288000,0,132000,易,-,-,-,-%,-%
#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
1,葡萄糖注射液,82,3150000,0,1660000,中等,-,-,-,-%,-%
2,维生素c片,144,7190000,6,2350000,中等,-18%,+7%,-2%,58.64%,41.36%
3,安乃近片,52,289000,0,901000,易,-21%,+10%,+2%,68.13%,31.87%
4,葡萄糖氯化钠注射液,19,1480000,2,739000,易,-,-,-,-%,-%
5,氯化钠注射液,91,3490000,6,1590000,中等,-2%,-11%,-8%,64.97%,35.03%
6,复方磺胺甲噁唑片,0,626000,0,231000,易,-,-,-,-%,-%
7,盐酸小檗碱片,284,312000,2,311000,易,+1%,-9%,+19%,65.02%,34.98%
8,对乙酰氨基酚片,475,1460000,0,1240000,中等,-4%,+9%,-9%,67.53%,32.47%
9,土霉素片,0,372000,4,720000,易,-16%,+17%,+675%,61.83%,38.17%
10,板蓝根颗粒,123,1330000,2,948000,中等,-7%,+8%,-11%,67.54%,32.46%
11,维生素c注射液,39,3140000,0,1290000,中等,-,-,-,-%,-%
12,诺氟沙星胶囊,547,1130000,0,690000,中等,-2%,-11%,-12%,67.25%,32.75%
13,维生素b1片,46,812000,2,3710000,易,-,-,-,-%,-%
14,灭菌注射用水,27,826000,6,297000,易,-,-,-,-%,-%
15,红霉素肠溶片,91,424000,0,509000,易,+1%,-6%,+800%,68.16%,31.84%
16,复方丹参片,553,2340000,0,2570000,中等,+2%,-5%,-15%,63.81%,36.19%
17,甲硝唑片,530,1520000,2,471000,中等,+28%,+17%,-15%,58.33%,41.67%
18,氧,0,100000000,0,250000000,中等,+16%,-6%,0%,59.03%,40.97%
19,去痛片,0,1940000,2,2060000,易,-,-,-,-%,-%
20,乙酰螺旋霉素片,158,785000,0,233000,易,+7%,-1%,-13%,68.82%,31.18%
21,六味地黄丸,4395,15400000,0,5040000,难,+1%,+5%,-8%,78.45%,21.55%
22,维生素b12注射液,0,4230000,2,318000,中等,-,-,-,-%,-%
23,异烟肼片,22,276000,0,603000,易,-,-,-,-%,-%
24,硫酸庆大霉素注射液,45,561000,0,240000,易,+3%,-25%,+14%,62.26%,37.74%
25,利福平胶囊,117,1130000,0,785000,易,+5%,-10%,+1975%,67.41%,32.59%
26,四环素片,66,243000,4,1910000,易,-2%,+13%,+780%,60.89%,39.11%
27,呋喃唑酮片,0,158000,0,233000,易,-,-,-,-%,-%
28,头孢氨苄胶囊,606,761000,0,792000,易,+1%,+1%,-13%,70.22%,29.78%
29,氨咖黄敏胶囊,952,575000,0,282000,易,-2%,+13%,-24%,67.71%,32.29%
30,牛黄解毒片,135,3120000,0,1370000,中等,-3%,+6%,-4%,66.68%,33.32%
31,维生素b6片,53,510000,4,2350000,易,-,-,-,-%,-%
32,氯霉素片,36,155000,0,817000,易,-15%,-13%,+1900%,65.72%,34.28%
33,维生素b2片,34,337000,6,2230000,易,-,-,-,-%,-%
34,肌苷片,246,1420000,0,1070000,易,-21%,-6%,-2%,68.44%,31.56%
35,醋酸泼尼松片,372,398000,0,293000,易,0%,-3%,-7%,61.37%,38.63%
36,氯芬黄敏片,253,155000,0,253000,易,-7%,+3%,-15%,69.37%,30.63%
37,地塞米松磷酸钠注射液,35,567000,0,180000,易,+12%,-20%,+21%,62.92%,37.08%
38,盐酸雷尼替丁胶囊,149,446000,0,324000,易,-,-,-,-%,-%
39,布洛芬片,118,352000,2,1520000,易,-9%,-3%,-10%,67.04%,32.96%
40,西咪替丁片,104,477000,2,854000,易,-,-,-,-%,-%
41,杞菊地黄丸,429,1590000,0,585000,中等,-6%,+4%,-13%,69.09%,30.91%
42,维生素b6注射液,31,890000,0,305000,易,-,-,-,-%,-%
43,补中益气丸,745,2520000,2,1140000,中等,+14%,+4%,-8%,68.57%,31.43%
44,阿莫西林胶囊,817,2470000,0,1060000,中等,+3%,+41%,-48%,69.1%,30.9%
45,吡哌酸片,0,168000,0,509000,易,-,-,-,-%,-%
46,穿心莲片,69,566000,0,834000,易,+14%,+42%,+354%,72.27%,27.73%
47,盐酸林可霉素注射液,20,375000,2,279000,易,-,-,-,-%,-%
48,甘露醇注射液,46,370000,6,446000,易,+12%,-21%,+750%,68.2%,31.8%
49,头孢拉定胶囊,821,929000,0,633000,易,+3%,-8%,-9%,69.45%,30.55%
50,甲硝唑氯化钠注射液,30,478000,0,186000,易,-,-,-,-%,-%
51,马来酸氯苯那敏片,177,419000,4,337000,易,+1%,-6%,-15%,63.42%,36.58%
52,吡拉西坦片,0,178000,0,339000,易,-,-,-,-%,-%
53,维c银翘片,316,2530000,0,1400000,中等,-4%,+7%,-10%,68.47%,31.53%
54,阿司匹林肠溶片,430,1350000,0,494000,中等,+2%,+20%,-33%,61.09%,38.91%
55,利巴韦林注射液,79,1000000,0,456000,易,+5%,-20%,-1%,69.67%,30.33%
56,复方乙酰水杨酸片,164,352000,0,121000,易,-3%,+1%,-9%,67.67%,32.33%
57,萘普生片,0,127000,0,310000,易,-,-,-,-%,-%
58,十全大补丸,287,1020000,0,899000,易,+4%,+13%,-5%,69.26%,30.74%
59,注射用头孢呋辛钠,44,598000,4,278000,易,-,-,-,-%,-%
60,注射用头孢他啶,20,749000,0,147000,易,-,-,-,-%,-%
61,注射用头孢曲松钠,49,1530000,0,205000,易,-,-,-,-%,-%
62,干酵母片,0,174000,6,843000,易,-,-,-,-%,-%
63,卡托普利片,125,624000,0,592000,易,+6%,0%,+585%,63.99%,36.01%
64,头孢氨苄片,102,293000,0,723000,易,-,-,-,-%,-%
65,归脾丸,860,2130000,0,1030000,中等,+3%,-3%,-11%,63.65%,36.35%
66,注射用头孢哌酮钠舒巴坦钠,0,578000,2,183000,易,-,-,-,-%,-%
67,右旋糖酐40葡萄糖注射液,4,242000,4,73500,易,-,-,-,-%,-%
68,天王补心丸,267,444000,0,0,易,+4%,+1%,-30%,67.37%,32.63%
69,琥乙红霉素片,0,457000,0,0,易,-,-,-,-%,-%
70,柏子养心丸,214,575000,0,0,易,+16%,+3%,-17%,63.57%,36.43%
71,盐酸吗啉胍片,133,155000,0,0,易,0%,+1%,-16%,64.36%,35.64%
72,附子理中丸,617,1350000,0,0,中等,+9%,-9%,-6%,68.71%,31.29%
73,知柏地黄丸,727,0,0,0,易,+6%,0%,-3%,70.75%,29.25%
74,谷维素片,158,947000,2,0,易,+8%,+12%,-11%,63.48%,36.52%
75,小儿氨酚黄那敏颗粒,443,1360000,2,0,中等,+9%,-6%,-15%,67.92%,32.08%
76,肌苷注射液,0,1260000,0,0,易,-,-,-,-%,-%
77,注射用头孢噻肟钠,26,681000,0,0,易,-,-,-,-%,-%
78,硝苯地平片,181,1510000,0,0,易,-1%,-10%,+630%,63.31%,36.69%
79,氨茶碱片,45,1200000,0,0,易,+21%,-3%,+575%,69.66%,30.34%
80,维生素b1注射液,0,1330000,0,0,易,-,-,-,-%,-%
81,联磺甲氧苄啶片,0,135000,2,0,易,-,-,-,-%,-%
82,川贝枇杷糖浆,123,880000,0,0,易,-8%,+4%,+266%,61.31%,38.69%
83,曲克芦丁片,0,193000,6,0,易,-,-,-,-%,-%
84,醋酸地塞米松片,132,1250000,0,0,易,0%,+2%,+792%,61.68%,38.32%
85,盐酸普鲁卡因注射液,12,330000,4,0,易,-,-,-,-%,-%
86,硫酸阿托品注射液,70,307000,0,0,易,-11%,0%,+800%,70.31%,29.69%
87,复方氯化钠注射液,12,1890000,0,0,易,-,-,-,-%,-%
88,元胡止痛片,110,572000,0,0,易,+4%,-5%,-3%,53.97%,46.03%
89,硫酸阿米卡星注射液,0,309000,0,0,易,-,-,-,-%,-%
90,碳酸氢钠片,213,610000,6,0,易,+15%,+60%,-6%,61.79%,38.21%
91,清热解毒口服液,120,2820000,0,758000,易,+2%,-5%,-7%,67.11%,32.89%
92,感冒退热颗粒,15,2260000,0,1090000,易,-,-,-,-%,-%
93,三七片,180,946000,0,1320000,易,0%,-11%,+10%,66.82%,33.18%
94,安乃近注射液,0,586000,0,229000,易,-,-,-,-%,-%
95,橘红丸,99,333000,0,594000,易,0%,+18%,-25%,66.32%,33.68%
96,明目地黄丸,130,591000,0,625000,易,+6%,-1%,-19%,68.61%,31.39%
97,八珍益母丸,0,477000,0,463000,易,-,-,-,-%,-%
98,香砂养胃丸,480,1150000,0,498000,中等,-2%,+3%,-13%,67.9%,32.1%
99,银翘解毒丸,84,692000,0,508000,易,-,-,-,-%,-%
100,双氯芬酸钠肠溶片,366,578000,0,198000,易,+3%,-4%,-2%,67.93%,32.07%
#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
22,逍遥丸,1486,4690000,0,478000,中等,+3%,-3%,-11%,53.32%,46.68%
14,藿香正气水,1210,3650000,0,1790000,中等,-2%,-34%,+125%,68.5%,31.5%
29,桂附地黄丸,821,1380000,0,464000,中等,-1%,+4%,-17%,79.93%,20.07%
17,乌鸡白凤丸,799,9630000,0,1660000,中等,+1%,+13%,-11%,47.4%,52.6%
13,生脉饮,520,1560000,0,1050000,中等,+4%,-21%,+13%,65.16%,34.84%
27,人参健脾丸,506,952000,0,2340000,易,+2%,-2%,-3%,68.45%,31.55%
4,龙胆泻肝丸,461,1820000,0,676000,中等,-5%,+13%,-2%,71.13%,28.87%
46,益母草颗粒,396,1270000,0,1170000,中等,-2%,+1%,-10%,45.86%,54.14%
8,藿香正气丸,391,2620000,0,464000,中等,0%,-18%,+43%,65.75%,34.25%
54,人血白蛋白,391,1390000,2,1410000,中等,-9%,+3%,+13%,65.98%,34.02%
30,保和丸,376,1910000,0,1150000,中等,+1%,-11%,0%,66.71%,33.29%
96,防风通圣丸,357,1150000,0,369000,中等,+6%,-7%,-13%,61.62%,38.38%
48,维生素e软胶囊,331,2650000,0,3060000,中等,-25%,+2%,-1%,46.68%,53.32%
57,碘酊,317,2150000,0,138000,中等,+21%,-5%,+16%,67.6%,32.4%
73,酚氨咖敏片,289,133000,0,290000,易,+6%,-22%,-13%,64.48%,35.52%
5,黄连上清丸,246,731000,0,291000,易,0%,+2%,0%,65.93%,34.07%
58,木香顺气丸,246,513000,0,399000,易,+3%,+3%,-19%,64.88%,35.12%
67,复方对乙酰氨基酚片,213,1490000,0,677000,易,-4%,+20%,-7%,67.71%,32.29%
26,通宣理肺丸,211,713000,0,314000,易,0%,+9%,-35%,66.37%,33.63%
76,感冒清热颗粒,196,1130000,0,938000,易,-14%,+17%,-18%,66.17%,33.83%
47,利巴韦林片,193,271000,0,1040000,易,-6%,+8%,-15%,68.03%,31.97%
82,聚维酮碘溶液,185,331000,6,219000,易,+3%,-7%,+6%,59.58%,40.42%
59,牛黄上清丸,180,559000,0,284000,易,+3%,+4%,-5%,66.49%,33.51%
38,尼群地平片,158,247000,2,327000,易,-,-,-,-%,-%
35,牛黄解毒丸,145,1390000,0,2180000,易,-9%,+6%,-5%,66.64%,33.36%
34,朱砂安神丸,131,654000,2,214000,易,-,-,-,-%,-%
99,头孢氨苄颗粒,127,269000,0,546000,易,+3%,-12%,-11%,72.61%,27.39%
97,卡马西平片,117,332000,2,473000,易,-,-,-,-%,-%
12,银翘解毒片,114,787000,0,617000,易,+8%,-3%,-6%,68.11%,31.89%
19,大山楂丸,112,391000,2,629000,易,+12%,+6%,+744%,52.58%,47.42%
56,石斛夜光丸,109,330000,0,156000,易,-8%,-7%,+1%,59.3%,40.7%
18,小儿止咳糖浆,108,2220000,0,1540000,易,+34%,-8%,-28%,66.38%,33.62%
100,天麻胶囊,93,869000,0,1750000,易,-,-,-,-%,-%
3,碳酸氢钠注射液,92,1300000,0,556000,易,+11%,-5%,+9%,64.34%,35.66%
91,小儿咳喘灵颗粒,91,563000,0,325000,易,+9%,-12%,-34%,72.39%,27.61%
31,复方茶碱麻黄碱片,89,242000,0,216000,易,+25%,+27%,-24%,73.71%,26.29%
64,小活络丸,82,310000,0,395000,易,-,-,-,-%,-%
6,枸橼酸喷托维林片,78,334000,0,114000,易,-,-,-,-%,-%
71,盐酸克林霉素胶囊,75,481000,0,353000,易,-,-,-,-%,-%
39,咳特灵胶囊,64,418000,0,555000,易,-,-,-,-%,-%
23,葡醛内酯片,64,136000,0,137000,易,-,-,-,-%,-%
61,琥乙红霉素颗粒,58,661000,0,270000,易,-,-,-,-%,-%
69,磷酸苯丙哌林片,56,276000,0,165000,易,-,-,-,-%,-%
89,香丹注射液,54,415000,0,340000,易,+8%,-6%,-37%,66.4%,33.6%
75,蛇胆川贝液,54,610000,0,381000,易,+5%,-10%,-28%,67.8%,32.2%
80,复方板蓝根颗粒,51,719000,0,431000,易,-4%,-15%,-26%,63.34%,36.66%
7,阿司匹林片,51,2520000,2,3200000,易,+3%,+12%,+750%,56.95%,43.05%
20,藻酸双酯钠片,51,134000,0,156000,易,-,-,-,-%,-%
52,盐酸左旋咪唑片,50,300000,2,177000,易,-,-,-,-%,-%
90,羚羊感冒片,43,359000,0,232000,易,-,-,-,-%,-%
94,克林霉素磷酸酯注射液,36,529000,0,219000,易,+36%,-6%,0%,66.53%,33.47%
16,盐酸利多卡因注射液,34,427000,0,255000,易,-,-,-,-%,-%
25,氯霉素注射液,30,1140000,0,931000,易,-,-,-,-%,-%
88,脑蛋白水解物注射液,29,428000,0,238000,易,-,-,-,-%,-%
28,盐酸乙胺丁醇片,29,336000,0,181000,易,-,-,-,-%,-%
1,西咪替丁胶囊,27,968000,2,512000,易,-,-,-,-%,-%
62,鱼腥草注射液,27,1290000,0,465000,易,-,-,-,-%,-%
45,依托红霉素片,23,453000,0,268000,易,-,-,-,-%,-%
65,注射用青霉素钠,23,620000,0,481000,易,-,-,-,-%,-%
84,葛根素注射液,22,919000,0,150000,易,-8%,-7%,+1300%,61.22%,38.78%
70,胸腺肽注射液,21,1000000,2,437000,易,-,-,-,-%,-%
77,大山楂颗粒,20,2590000,0,1360000,易,-,-,-,-%,-%
40,胞磷胆碱钠注射液,18,368000,0,219000,易,-,-,-,-%,-%
44,乳酸左氧氟沙星氯化钠注射液,17,373000,0,95500,易,-,-,-,-%,-%
24,硫酸庆大霉素片,14,686000,0,573000,易,-,-,-,-%,-%
2,氢化可的松注射液,9,766000,0,279000,易,-,-,-,-%,-%
33,盐酸林可霉素胶囊,7,396000,0,295000,易,-,-,-,-%,-%
81,吡拉西坦胶囊,5,611000,0,269000,易,-,-,-,-%,-%
15,硫酸小诺霉素注射液,4,155000,0,95600,易,-,-,-,-%,-%
66,利福平片,4,52200,2,1200000,易,+66%,+50%,+300%,47.43%,52.57%
42,磺胺嘧啶片,3,805000,0,252000,易,-,-,-,-%,-%
60,甲氧苄啶片,2,853000,0,391000,易,-,-,-,-%,-%
63,硫酸卡那霉素注射液,2,195000,0,157000,易,-,-,-,-%,-%
50,盐酸林可霉素片,1,462000,0,354000,易,-,-,-,-%,-%
98,注射用奥扎格雷钠,0,477000,4,130000,易,-,-,-,-%,-%
95,利福定胶囊,0,89500,0,534000,易,-,-,-,-%,-%
93,小儿复方磺胺甲噁唑颗粒,0,272000,0,111000,易,-,-,-,-%,-%
92,盐酸四环素片,0,1050000,0,350000,易,-,-,-,-%,-%
87,曲克芦丁注射液,0,356000,2,1240000,易,-,-,-,-%,-%
86,肌醇烟酸酯片,0,250000,4,105000,易,-,-,-,-%,-%
85,舒肝丸,0,452000,0,188000,易,-,-,-,-%,-%
83,甲硝唑葡萄糖注射液,0,463000,2,187000,易,-,-,-,-%,-%
79,盐酸氯丙嗪片,0,115000,2,207000,易,-,-,-,-%,-%
78,羚翘解毒丸,0,630000,0,122000,易,-,-,-,-%,-%
74,开胸顺气丸,0,283000,0,228000,易,-,-,-,-%,-%
72,注射用尿激酶,0,139000,2,130000,易,-,-,-,-%,-%
43,盐酸麻黄碱片,0,134000,0,273000,易,-,-,-,-%,-%
41,复方氨林巴比妥注射液,0,158000,0,129000,易,-,-,-,-%,-%
37,注射用胸腺肽,0,375000,2,388000,易,-,-,-,-%,-%
36,地西泮片,0,250000,0,353000,易,-,-,-,-%,-%
32,复方氨基酸注射液(18aa),0,279000,0,76000,易,-,-,-,-%,-%
9,注射用头孢哌酮钠,0,731000,2,298000,易,-,-,-,-%,-%
10,双嘧达莫片,0,153000,0,215000,易,-,-,-,-%,-%
11,三黄片,0,1430000,0,1150000,易,-,-,-,-%,-%
21,萘普生胶囊,0,419000,0,194000,易,-,-,-,-%,-%
49,注射用头孢米诺钠,0,301000,2,232000,易,-,-,-,-%,-%
51,贝诺酯片,0,130000,0,233000,易,-,-,-,-%,-%
53,注射用头孢唑林钠,0,492000,0,200000,易,-,-,-,-%,-%
55,小儿复方磺胺甲噁唑片,0,324000,0,1060000,易,-,-,-,-%,-%
68,注射用头孢拉定,0,1140000,0,231000,易,-,-,-,-%,-%
#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
7,复方氨酚烷胺片,1357,1440000,0,442000,中等,0%,+7%,-10%,71.13%,28.87%
60,阿奇霉素分散片,819,1410000,0,393000,中等,0%,+2%,-13%,67.69%,32.31%
92,奥美拉唑肠溶胶囊,725,1350000,0,0,中等,-2%,0%,-13%,65.52%,34.48%
21,安宫牛黄丸,550,2190000,2,1140000,中等,+16%,-7%,-4%,67.59%,32.41%
53,罗红霉素胶囊,539,932000,0,1230000,易,+5%,+2%,-18%,69.46%,30.54%
20,复方氨酚烷胺胶囊,496,1200000,0,420000,中等,-7%,-1%,-19%,68.51%,31.49%
26,人工牛黄甲硝唑胶囊,436,557000,0,209000,易,+5%,0%,-21%,65.46%,34.54%
71,头孢氨苄甲氧苄啶胶囊,370,433000,0,164000,易,-14%,-4%,-22%,70.76%,29.24%
12,人参归脾丸,357,597000,0,502000,易,+42%,+18%,-14%,61.48%,38.52%
3,健脾丸,275,1740000,0,1150000,易,-9%,-2%,-6%,68.73%,31.27%
23,益母草膏,238,1400000,0,490000,易,+3%,-6%,-7%,65.52%,34.48%
61,辛伐他汀片,232,1020000,0,516000,易,-5%,-6%,-20%,63.99%,36.01%
83,天麻丸,207,574000,0,0,易,+12%,-1%,+3000%,64.78%,35.22%
29,护肝片,191,2130000,2,6620000,中等,-4%,+4%,-11%,73.26%,26.74%
38,消炎利胆片,190,829000,2,563000,易,+10%,-4%,-11%,67.81%,32.19%
79,牛黄清胃丸,176,530000,0,0,易,+22%,+11%,+4%,63.67%,36.33%
27,麦味地黄丸,165,517000,0,650000,易,+8%,-3%,-9%,74.81%,25.19%
45,盐酸二甲双胍片,159,797000,0,346000,易,0%,0%,-41%,46.55%,53.45%
37,脑心舒口服液,153,427000,0,668000,易,+13%,+1%,-17%,66.79%,33.21%
84,大活络丸,152,443000,0,0,易,+8%,-8%,-12%,67.25%,32.75%
52,阿苯达唑片,138,274000,0,160000,易,-2%,-3%,-11%,67.74%,32.26%
65,氨基比林咖啡因片,137,247000,0,111000,易,+2%,+9%,+780%,64.85%,35.15%
63,复方黄连素片,124,319000,0,447000,易,-,-,-,-%,-%
13,强力枇杷露,118,1200000,0,249000,易,+1%,-1%,-34%,68.11%,31.89%
82,六味地黄胶囊,117,1010000,0,0,易,-,-,-,-%,-%
62,刺五加片,114,333000,0,1620000,易,-11%,+13%,-18%,69.19%,30.81%
98,苯妥英钠片,111,134000,2,0,易,+9%,0%,+1600%,59.45%,40.55%
22,氨咖黄敏片,104,94700,0,268000,易,+5%,+90%,+440%,65.77%,34.23%
4,上清丸,103,1420000,0,560000,易,+4%,+13%,-13%,67.36%,32.64%
50,复合维生素b片,94,556000,2,1100000,易,-,-,-,-%,-%
80,舒必利片,92,393000,0,0,易,-,-,-,-%,-%
39,齐墩果酸片,84,118000,0,171000,易,-20%,-17%,-11%,73.02%,26.98%
70,复方醋酸地塞米松乳膏,82,540000,0,232000,易,-,-,-,-%,-%
